;state;income;professional;unemployment
393;Alabama;28517.0;16.1;10.7
394;Alabama;19508.0;14.3;13.3
395;Alabama;29527.0;23.1;21.2
396;Alabama;22072.0;19.9;21.0
397;Alabama;17083.0;21.8;17.9
398;Alabama;21932.0;16.0;10.8
399;Alabama;37207.0;40.7;6.2
400;Alabama;27396.0;17.3;13.2
401;Alabama;31781.0;16.9;10.2
402;Alabama;21420.0;17.6;21.2
403;Alabama;30040.0;27.0;8.5
404;Alabama;25093.0;12.6;6.2
405;Alabama;31934.0;22.7;5.7
406;Alabama;28811.0;26.4;5.4
407;Alabama;34329.0;10.5;16.6
408;Alabama;16461.0;16.3;23.7
409;Alabama;65809.0;53.1;3.8
410;Alabama;73750.0;57.4;4.9
411;Alabama;28258.0;33.0;12.3
412;Alabama;18144.0;60.4;14.9
413;Alabama;16983.0;3.6;26.6
414;Alabama;24920.0;27.1;15.0
415;Alabama;18388.0;11.2;25.4
416;Alabama;26985.0;28.4;13.1
417;Alabama;20039.0;18.3;25.6
418;Alabama;19167.0;20.2;13.7
419;Alabama;24444.0;13.6;22.7
420;Alabama;31630.0;25.0;15.2
421;Alabama;42007.0;27.5;14.3
422;Alabama;27171.0;13.2;8.5
423;Alabama;31286.0;19.5;19.1
424;Alabama;34750.0;21.3;12.0
425;Alabama;28015.0;13.8;4.6
426;Alabama;17299.0;23.4;20.8
427;Alabama;20536.0;17.2;11.7
428;Alabama;15313.0;35.3;21.4
429;Alabama;50377.0;69.6;2.1
430;Alabama;63986.0;60.5;2.3
431;Alabama;58017.0;63.2;3.2
432;Alabama;34069.0;48.8;2.7
433;Alabama;32230.0;50.9;7.1
434;Alabama;33704.0;39.1;6.4
435;Alabama;15625.0;10.5;18.6
436;Alabama;32632.0;31.5;7.4
437;Alabama;32670.0;25.4;5.8
438;Alabama;29614.0;14.4;20.1
439;Alabama;51583.0;36.9;6.5
440;Alabama;21955.0;23.7;14.0
441;Alabama;47757.0;39.8;4.2
442;Alabama;32625.0;13.4;10.0
443;Alabama;29201.0;17.7;16.8
444;Alabama;31875.0;27.3;7.0
445;Alabama;46276.0;31.5;8.0
446;Alabama;31421.0;19.3;7.8
447;Alabama;65042.0;31.7;3.7
448;Alabama;32260.0;12.6;16.2
449;Alabama;51599.0;42.1;15.9
450;Alabama;55361.0;27.2;8.0
451;Alabama;34432.0;21.7;6.6
452;Alabama;42689.0;28.0;5.6
453;Alabama;16500.0;6.8;15.6
454;Alabama;36226.0;16.4;22.8
455;Alabama;28750.0;22.1;9.6
456;Alabama;21355.0;19.4;19.4
457;Alabama;26035.0;16.9;15.5
458;Alabama;41354.0;23.2;4.8
459;Alabama;21139.0;14.0;9.8
460;Alabama;25882.0;16.0;18.6
461;Alabama;48138.0;27.2;4.2
462;Alabama;40991.0;49.9;0.5
463;Alabama;92500.0;65.6;2.7
464;Alabama;126944.0;70.8;2.0
465;Alabama;70882.0;55.4;7.4
466;Alabama;108587.0;63.1;1.1
467;Alabama;51552.0;41.1;3.6
468;Alabama;110739.0;68.0;3.5
469;Alabama;142625.0;66.2;1.9
470;Alabama;78145.0;49.6;3.5
471;Alabama;133011.0;72.4;0.0
472;Alabama;114725.0;62.7;3.8
473;Alabama;25993.0;14.9;6.8
474;Alabama;69531.0;41.0;5.6
475;Alabama;35030.0;19.8;5.1
476;Alabama;53082.0;33.6;5.8
477;Alabama;83232.0;43.9;5.1
478;Alabama;73920.0;48.9;1.7
479;Alabama;79605.0;52.2;2.8
480;Alabama;74542.0;33.7;7.7
481;Alabama;80692.0;39.1;2.6
482;Alabama;63988.0;32.6;2.6
483;Alabama;65974.0;36.7;5.2
484;Alabama;43709.0;30.8;10.1
485;Alabama;66188.0;36.5;3.5
486;Alabama;30068.0;18.9;19.8
487;Alabama;26477.0;17.7;20.4
