;state;population
1005;Alabama;4510
1006;Alabama;6745
1007;Alabama;5456
1008;Alabama;6495
1009;Alabama;7069
1010;Alabama;6082
1011;Alabama;5528
1012;Alabama;5531
1013;Alabama;3810
1014;Alabama;11461
1015;Alabama;9737
1016;Alabama;4117
1017;Alabama;886
1018;Alabama;3114
1019;Alabama;3394
1020;Alabama;4613
1021;Alabama;8686
1022;Alabama;4293
1023;Alabama;7800
1024;Alabama;5674
1025;Alabama;7999
1026;Alabama;6030
1027;Alabama;4203
1028;Alabama;3615
1029;Alabama;3363
1030;Alabama;5805
1031;Alabama;5681
1032;Alabama;4097
1033;Alabama;2424
1034;Alabama;5665
1035;Alabama;5738
1036;Alabama;4436
1037;Alabama;1244
1038;Alabama;5168
1039;Alabama;4044
1040;Alabama;6800
1041;Alabama;1848
1042;Alabama;6003
1043;Alabama;2440
1044;Alabama;2371
1045;Alabama;3064
1046;Alabama;3037
1047;Alabama;1435
1048;Alabama;3443
1049;Alabama;2197
1050;Alabama;3021
1051;Alabama;7119
1052;Alabama;2656
1053;Alabama;7375
1054;Alabama;8237
1055;Alabama;6026
1056;Alabama;3334
1057;Alabama;7372
1058;Alabama;4603
1059;Alabama;3975
1060;Alabama;3798
1061;Alabama;4016
1062;Alabama;2462
1063;Alabama;0
1064;Alabama;5584
1065;Alabama;1716
1066;Alabama;4617
1067;Alabama;1167
1068;Alabama;4941
1069;Alabama;4802
1070;Alabama;3515
1071;Alabama;4023
1072;Alabama;2931
1073;Alabama;4819
1074;Alabama;2711
1075;Alabama;2977
1076;Alabama;2708
1077;Alabama;2864
1078;Alabama;3244
1079;Alabama;2958
1080;Alabama;4981
1081;Alabama;2822
1082;Alabama;5900
1083;Alabama;2931
1084;Alabama;5633
1085;Alabama;4466
1086;Alabama;4232
1087;Alabama;2201
1088;Alabama;3061
1089;Alabama;2168
1090;Alabama;2501
1091;Alabama;4090
1092;Alabama;4297
1093;Alabama;4571
1094;Alabama;5963
1095;Alabama;4441
1096;Alabama;4156
1097;Alabama;2820
1098;Alabama;1794
1099;Alabama;6123
1100;Alabama;4579
1101;Alabama;2991
1102;Alabama;5888
1103;Alabama;3650
1104;Alabama;10903
1105;Alabama;2859
1106;Alabama;4730
1107;Alabama;6473
1108;Alabama;3342
1109;Alabama;3028
1110;Alabama;4033
1111;Alabama;2552
1112;Alabama;4178
1113;Alabama;4965
1114;Alabama;3180
1115;Alabama;2214
1116;Alabama;4870
1117;Alabama;10477
1118;Alabama;6699
1119;Alabama;7388
1120;Alabama;2762
1121;Alabama;4821
1122;Alabama;3035
1123;Alabama;2896
1124;Alabama;7307
1125;Alabama;2521
1126;Alabama;2094
1127;Alabama;3521
1128;Alabama;2794
1129;Alabama;4461
1130;Alabama;3566
1131;Alabama;2887
1132;Alabama;1844
1133;Alabama;2913
1134;Alabama;5931
1135;Alabama;7453
1136;Alabama;3805
1137;Alabama;5168
1138;Alabama;3096
1139;Alabama;2686
1140;Alabama;7410
1141;Alabama;1681
1142;Alabama;6964
1143;Alabama;4550
1144;Alabama;1702
1145;Alabama;5091
1146;Alabama;2466
1147;Alabama;2954
1148;Alabama;4470
1149;Alabama;6807
1150;Alabama;1834
1151;Alabama;2529
1152;Alabama;2915
1153;Alabama;6032
1154;Alabama;4844
1155;Alabama;3788
1156;Alabama;3220
1157;Alabama;2931
1158;Alabama;3863
1159;Alabama;3497
1160;Alabama;3209
1161;Alabama;1497
1162;Alabama;4419
1163;Alabama;3678
1164;Alabama;2440
1165;Alabama;2611
1166;Alabama;3560
1167;Alabama;3426
1168;Alabama;5046
1169;Alabama;2103
1170;Alabama;1530
1171;Alabama;4518
1172;Alabama;3244
1173;Alabama;1627
1174;Alabama;2516
1175;Alabama;2514
1176;Alabama;2797
1177;Alabama;5163
1178;Alabama;4111
1179;Alabama;4674
1180;Alabama;2193
1181;Alaska;3338
1182;Alaska;975
1183;Alaska;4809
1184;Alaska;5514
1185;Alaska;5198
1186;Alaska;5077
1187;Alaska;6022
1188;Alaska;11902
1189;Alaska;3508
1190;Alaska;8920
1191;Alaska;5198
1192;Alaska;1908
1193;Alaska;6536
1194;Alaska;6173
1195;Alaska;5330
1196;Alaska;5383
1197;Alaska;7102
1198;Alaska;4932
1199;Alaska;5475
